,Industry,Year,Metric,Attribute,Value,Scenario
1614,Manufacturing,2045,4-LaborIncome,Induced,55367.188,Base Case
1615,Manufacturing,2045,4-LaborIncome,Total,35253359.69,Base Case
1616,Manufacturing,2045,5-OtherPropertyTypeIncome,Direct,9859720.018,Base Case
1617,Manufacturing,2045,5-OtherPropertyTypeIncome,Indirect,227400.374,Base Case
1618,Manufacturing,2045,5-OtherPropertyTypeIncome,Induced,52288.492,Base Case
1619,Manufacturing,2045,5-OtherPropertyTypeIncome,Total,10139408.88,Base Case
1620,Manufacturing,2045,6-IndirectBusinessTaxes,Direct,1525931.5,Base Case
1621,Manufacturing,2045,6-IndirectBusinessTaxes,Indirect,20581.086,Base Case
1622,Manufacturing,2045,6-IndirectBusinessTaxes,Induced,3404.306,Base Case
1623,Manufacturing,2045,6-IndirectBusinessTaxes,Total,1549916.898,Base Case
1624,Manufacturing,2045,7-TotalValueAdded,Direct,46291609.85,Base Case
1625,Manufacturing,2045,7-TotalValueAdded,Indirect,540015.646,Base Case
1626,Manufacturing,2045,7-TotalValueAdded,Induced,111060.012,Base Case
1627,Manufacturing,2045,7-TotalValueAdded,Total,46942685.49,Base Case
1628,Manufacturing,2045,8-Output,Direct,148234307.2,Base Case
1629,Manufacturing,2045,8-Output,Indirect,1994146.656,Base Case
1630,Manufacturing,2045,8-Output,Induced,451527.082,Base Case
1631,Manufacturing,2045,8-Output,Total,150679980.9,Base Case
1632,Manufacturing,2050,1-Employment,Direct,674.346,Base Case
1633,Manufacturing,2050,1-Employment,Indirect,6.154,Base Case
1634,Manufacturing,2050,1-Employment,Induced,0.838,Base Case
1635,Manufacturing,2050,1-Employment,Total,681.356,Base Case
1636,Manufacturing,2050,2-EmployeeCompensation,Direct,35677650.11,Base Case
1637,Manufacturing,2050,2-EmployeeCompensation,Indirect,352790.644,Base Case
1638,Manufacturing,2050,2-EmployeeCompensation,Induced,47647.786,Base Case
1639,Manufacturing,2050,2-EmployeeCompensation,Total,36078088.56,Base Case
1640,Manufacturing,2050,3-PropietorsIncome,Direct,2233727.56,Base Case
1641,Manufacturing,2050,3-PropietorsIncome,Indirect,16195.192,Base Case
1642,Manufacturing,2050,3-PropietorsIncome,Induced,14799.98,Base Case
1643,Manufacturing,2050,3-PropietorsIncome,Total,2264722.734,Base Case
1644,Manufacturing,2050,4-LaborIncome,Direct,37911377.68,Base Case
1645,Manufacturing,2050,4-LaborIncome,Indirect,368985.836,Base Case
1646,Manufacturing,2050,4-LaborIncome,Induced,62447.774,Base Case
1647,Manufacturing,2050,4-LaborIncome,Total,38342811.3,Base Case
1648,Manufacturing,2050,5-OtherPropertyTypeIncome,Direct,10915482.03,Base Case
1649,Manufacturing,2050,5-OtherPropertyTypeIncome,Indirect,311992.108,Base Case
1650,Manufacturing,2050,5-OtherPropertyTypeIncome,Induced,56484.864,Base Case
1651,Manufacturing,2050,5-OtherPropertyTypeIncome,Total,11283959.02,Base Case
1652,Manufacturing,2050,6-IndirectBusinessTaxes,Direct,1686460.302,Base Case
1653,Manufacturing,2050,6-IndirectBusinessTaxes,Indirect,26192.672,Base Case
1654,Manufacturing,2050,6-IndirectBusinessTaxes,Induced,3673.654,Base Case
1655,Manufacturing,2050,6-IndirectBusinessTaxes,Total,1716326.616,Base Case
1656,Manufacturing,2050,7-TotalValueAdded,Direct,50513320.02,Base Case
1657,Manufacturing,2050,7-TotalValueAdded,Indirect,707170.624,Base Case
1658,Manufacturing,2050,7-TotalValueAdded,Induced,122606.288,Base Case
1659,Manufacturing,2050,7-TotalValueAdded,Total,51343096.91,Base Case
1660,Manufacturing,2050,8-Output,Direct,165376584.7,Base Case
